hour,average_load_kW,average_pv_kW
0,2483.4549180327867,0.0
1,2466.811475409836,0.0
2,2418.377049180328,0.0
3,2396.0778688524592,0.0
4,2382.0122950819673,0.0
5,2337.5122950819673,0.0
6,2222.438524590164,299993.4631147541
7,1843.5860655737704,4013108.989071038
8,1519.5204918032787,9829941.639344262
9,1436.3565573770493,14683215.778688524
10,1298.954918032787,18063331.837431695
11,1226.0532786885246,20281295.70355191
12,1217.2254098360656,20439936.12021858
13,1364.717213114754,19457505.86748634
14,1485.1024590163934,16757387.5
15,1701.2909836065573,12862225.594262294
16,2001.2377049180327,7618648.81147541
17,2245.5163934426228,2217630.3142076503
18,2401.659836065574,36721.98087431694
19,2360.1434426229507,0.0
20,2391.282786885246,0.0
21,2532.5368852459014,0.0
22,2485.3934426229507,0.0
23,2461.909836065574,0.0
