hour,average_load_kW,average_pv_kW
0,2483.4549180327867,0.0
1,2466.811475409836,0.0
2,2418.377049180328,0.0
3,2396.0778688524592,0.0
4,2382.0122950819673,0.0
5,2337.5122950819673,0.0
6,2222.438524590164,2343.6989305840166
7,1843.5860655737704,31352.413977117485
8,1519.5204918032787,76796.41905737705
9,1436.3565573770493,114712.6232710041
10,1298.954918032787,141119.77997993512
11,1226.0532786885246,158447.6226839993
12,1217.2254098360656,159687.00093920765
13,1364.717213114754,152011.76458973702
14,1485.1024590163934,130917.08984375
15,1701.2909836065573,100486.13745517418
16,2001.2377049180327,59520.69383965164
17,2245.5163934426228,17325.236829747268
18,2401.659836065574,286.8904755806011
19,2360.1434426229507,0.0
20,2391.282786885246,0.0
21,2532.5368852459014,0.0
22,2485.3934426229507,0.0
23,2461.909836065574,0.0
