Date,RATE A,RATE B,RATE C,Load
01/01/2023 16.45,0.0,0.0,338.0,338.0
01/01/2023 17.00,0.0,0.0,440.0,440.0
01/01/2023 17.15,0.0,0.0,440.0,440.0
01/01/2023 17.30,0.0,0.0,440.0,440.0
01/01/2023 17.45,0.0,0.0,438.0,438.0
01/01/2023 18.00,0.0,0.0,440.0,440.0
01/01/2023 18.15,0.0,0.0,440.0,440.0
01/01/2023 18.30,0.0,0.0,440.0,440.0
01/01/2023 18.45,0.0,0.0,440.0,440.0
01/01/2023 19.00,0.0,0.0,440.0,440.0
01/01/2023 19.15,0.0,0.0,440.0,440.0
01/01/2023 19.30,0.0,0.0,440.0,440.0
01/01/2023 19.45,0.0,0.0,266.0,266.0
01/01/2023 20.00,0.0,0.0,256.0,256.0
01/01/2023 20.15,0.0,0.0,256.0,256.0
01/01/2023 20.30,0.0,0.0,256.0,256.0
01/01/2023 20.45,0.0,0.0,256.0,256.0
01/01/2023 21.00,0.0,0.0,256.0,256.0
01/01/2023 21.15,0.0,0.0,254.0,254.0
01/01/2023 21.30,0.0,0.0,256.0,256.0
01/01/2023 21.45,0.0,0.0,256.0,256.0
01/01/2023 22.00,0.0,0.0,256.0,256.0
01/01/2023 22.15,0.0,0.0,254.0,254.0
01/01/2023 22.30,0.0,0.0,254.0,254.0
01/01/2023 22.45,0.0,0.0,254.0,254.0
01/01/2023 23.00,0.0,0.0,254.0,254.0
01/01/2023 23.15,0.0,0.0,254.0,254.0
01/01/2023 23.30,0.0,0.0,254.0,254.0
01/01/2023 23.45,0.0,0.0,254.0,254.0
02/01/2023 00.00,0.0,254.0,0.0,254.0
02/01/2023 00.15,0.0,254.0,0.0,254.0
02/01/2023 00.30,0.0,254.0,0.0,254.0
02/01/2023 00.45,0.0,254.0,0.0,254.0
02/01/2023 01.00,0.0,254.0,0.0,254.0
02/01/2023 01.15,0.0,254.0,0.0,254.0
02/01/2023 01.30,0.0,252.0,0.0,252.0
02/01/2023 01.45,0.0,254.0,0.0,254.0
02/01/2023 02.00,0.0,254.0,0.0,254.0
02/01/2023 02.15,0.0,254.0,0.0,254.0
02/01/2023 02.30,0.0,252.0,0.0,252.0
02/01/2023 02.45,0.0,254.0,0.0,254.0
02/01/2023 03.00,0.0,254.0,0.0,254.0
02/01/2023 03.15,0.0,254.0,0.0,254.0
02/01/2023 03.30,0.0,254.0,0.0,254.0
02/01/2023 03.45,0.0,252.0,0.0,252.0
02/01/2023 04.00,0.0,252.0,0.0,252.0
02/01/2023 04.15,0.0,252.0,0.0,252.0
