Metric,Value,Unit
Installed Capacity,"1,000.00",kWp
Total Energy (25-yr),"24,444.00",MWh
Capital Investment,"25,233,011.68",THB
Average Savings,"4,815,141.00",THB/Year
O&M Cost,"504,660.23",THB/Year
Average Net Savings,"4,310,480.77",THB/Year
Inverter Replacement,"4,200,000.00",THB
Total 25-Year Savings,"105,580,660.07",THB
ROI,318.42,%
IRR,17.98,%
Payback Period,5 years 1 months,
