timestamp,RATE A,RATE B,RATE C,load
2023-01-01 23:45:00,0.0,0.0,61.35,61.35
2023-01-02 00:00:00,0.0,63.29,0.0,63.29
2023-01-02 00:15:00,0.0,64.83,0.0,64.83
2023-01-02 00:30:00,0.0,64.54,0.0,64.54
2023-01-02 00:45:00,0.0,60.37,0.0,60.37
2023-01-02 01:00:00,0.0,60.04,0.0,60.04
2023-01-02 01:15:00,0.0,60.74,0.0,60.74
2023-01-02 01:30:00,0.0,63.29,0.0,63.29
2023-01-02 01:45:00,0.0,62.14,0.0,62.14
2023-01-02 02:00:00,0.0,61.19,0.0,61.19
2023-01-02 02:15:00,0.0,60.75,0.0,60.75
2023-01-02 02:30:00,0.0,61.0,0.0,61.0
2023-01-02 02:45:00,0.0,64.3,0.0,64.3
2023-01-02 03:00:00,0.0,60.14,0.0,60.14
2023-01-02 03:15:00,0.0,60.19,0.0,60.19
2023-01-02 03:30:00,0.0,59.21,0.0,59.21
2023-01-02 03:45:00,0.0,59.48,0.0,59.48
2023-01-02 04:00:00,0.0,63.64,0.0,63.64
2023-01-02 04:15:00,0.0,59.01,0.0,59.01
2023-01-02 04:30:00,0.0,58.61,0.0,58.61
2023-01-02 04:45:00,0.0,58.46,0.0,58.46
2023-01-02 05:00:00,0.0,59.33,0.0,59.33
2023-01-02 05:15:00,0.0,61.48,0.0,61.48
2023-01-02 05:30:00,0.0,58.3,0.0,58.3
2023-01-02 05:45:00,0.0,57.29,0.0,57.29
2023-01-02 06:00:00,0.0,56.14,0.0,56.14
2023-01-02 06:15:00,0.0,58.53,0.0,58.53
2023-01-02 06:30:00,0.0,61.48,0.0,61.48
2023-01-02 06:45:00,0.0,60.98,0.0,60.98
2023-01-02 07:00:00,0.0,54.92,0.0,54.92
2023-01-02 07:15:00,0.0,46.96,0.0,46.96
2023-01-02 07:30:00,0.0,48.96,0.0,48.96
2023-01-02 07:45:00,0.0,42.76,0.0,42.76
2023-01-02 08:00:00,0.0,41.06,0.0,41.06
