,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0317660360290411
7,0.21957246968767122
8,0.4022290429315069
9,0.4878796898739726
10,0.5396379745232877
11,0.5506458815315068
12,0.5504895512986301
13,0.5277175100575342
14,0.4962301239452055
15,0.4285205759260274
16,0.32712396295068497
17,0.11932129592356165
18,0.003743955071232877
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
