Description,Value,Duration
Installed Capacity,"15,000.00",kWp
Total Energy,"477,238.50",MW
Capital Investment,0.00,THB
Tariff Discount,15,%
During Contract,1st-20th,Year
Average Savings,"11,670,557.79",THB/Year
O&M Cost,"10,082,626.40",THB/Year
Inverter Replacement,"63,000,000.00",THB
Average Net Savings,"11,670,557.79",THB/Year
20-years Net Savings,"233,411,155.75",THB
After Contract,21st-25th,Year
Average Savings,"72,038,927.66",THB/Year
O&M Cost,"10,082,626.40",THB/Year
Average Net Savings,"61,956,301.26",THB/Year
5-years Net Savings,"309,781,506.32",THB
Total 25-Year Savings,"543,192,662.07",THB
