Years,Solar Degradation,Annual Energy (MW),O&M Cost,Revenue of Energy,Cash Flow
0,1.0,637.5000000000001,0.0,0.0,-15751320.000000002
1,0.98,624.7500000000001,0.0,2656055.9025000003,2656055.9025000003
2,0.9745,621.2437500000001,0.0,2641149.4663125,2641149.4663125
3,0.9690000000000001,617.7375000000001,393783.00000000006,2626243.0301250005,2232460.0301250005
4,0.9635000000000001,614.2312500000003,393783.00000000006,2611336.593937501,2217553.593937501
5,0.9580000000000002,610.7250000000003,393783.00000000006,2596430.1577500007,2202647.1577500007
6,0.9525000000000002,607.2187500000002,393783.00000000006,2581523.721562501,2187740.721562501
7,0.9470000000000003,603.7125000000003,393783.00000000006,2566617.2853750014,2172834.2853750014
8,0.9415000000000003,600.2062500000003,393783.00000000006,2551710.8491875012,2157927.8491875012
9,0.9360000000000004,596.7000000000004,393783.00000000006,2536804.4130000016,2143021.4130000016
10,0.9305000000000004,593.1937500000004,2493783.0,2521897.9768125014,28114.976812501438
11,0.9250000000000005,589.6875000000005,393783.00000000006,2506991.540625002,2113208.540625002
12,0.9195000000000005,586.1812500000004,393783.00000000006,2492085.1044375016,2098302.1044375016
13,0.9140000000000006,582.6750000000004,393783.00000000006,2477178.668250002,2083395.668250002
14,0.9085000000000006,579.1687500000005,393783.00000000006,2462272.232062502,2068489.2320625018
15,0.9030000000000007,575.6625000000006,393783.00000000006,2447365.795875002,2053582.7958750022
16,0.8975000000000007,572.1562500000006,393783.00000000006,2432459.3596875025,2038676.3596875025
17,0.8920000000000008,568.6500000000005,393783.00000000006,2417552.9235000024,2023769.9235000024
18,0.8865000000000008,565.1437500000008,393783.00000000006,2402646.4873125027,2008863.4873125027
19,0.8810000000000009,561.6375000000007,393783.00000000006,2387740.051125003,1993957.051125003
20,0.8755000000000009,558.1312500000007,393783.00000000006,2372833.614937503,1979050.614937503
21,0.870000000000001,554.6250000000007,393783.00000000006,2357927.1787500028,1964144.1787500028
22,0.864500000000001,551.1187500000008,393783.00000000006,2343020.7425625036,1949237.7425625036
23,0.8590000000000011,547.6125000000009,393783.00000000006,2328114.3063750034,1934331.3063750034
24,0.8535000000000011,544.1062500000008,393783.00000000006,2313207.8701875033,1919424.8701875033
25,0.8480000000000012,540.6000000000008,393783.00000000006,2298301.434000003,1904518.4340000032
