Metric,Value,Unit
Installed Capacity,380.00,kWp
Total Energy (25-yr),"8,641.67",MWh
Capital Investment,"9,879,038.00",THB
Average Savings,"1,702,293.48",THB/Year
O&M Cost,"197,580.76",THB/Year
Average Net Savings,"1,504,712.72",THB/Year
Inverter Replacement,"1,596,000.00",THB
Total 25-Year Savings,"36,416,979.54",THB
ROI,268.63,%
IRR,15.33,%
Payback Period,5 years 12 months,
