Metric,Value,Unit
Installed Capacity,400.00,kWp
Total Energy,"12,163.50",MWh
Capital Investment,"12,627,320.00",THB
Average Savings,"1,981,742.93",THB/Year
O&M Cost,"315,683.00",THB/Year
Average Net Savings,"1,666,059.93",THB/Year
Inverter Replacement,"1,680,000.00",THB
Total 25-Year Savings,"40,602,864.37",THB
ROI,221.55,%
IRR,13.13,%
Payback Period,6 years 10 months,
