Metric,Value,Unit
Installed Capacity,380.00,kWp
Total Energy (25-yr),"8,704.14",MWh
Capital Investment,"9,538,850.00",THB
Average Savings,"1,418,125.30",THB/Year
O&M Cost,"190,777.00",THB/Year
Average Net Savings,"1,227,348.30",THB/Year
Inverter Replacement,"1,596,000.00",THB
Total 25-Year Savings,"29,469,261.44",THB
ROI,208.94,%
IRR,12.40,%
Payback Period,7 years 1 months,
