Metric,Value,Unit
Installed Capacity,"15,000.00",kWp
Total Energy,"477,238.50",MWh
Capital Investment,"504,131,320.00",THB
Average Savings,"76,651,431.76",THB/Year
O&M Cost,"10,082,626.40",THB/Year
Average Net Savings,"66,568,805.36",THB/Year
Inverter Replacement,"63,000,000.00",THB
Total 25-Year Savings,"1,621,385,386.87",THB
ROI,221.62,%
IRR,13.03,%
Payback Period,6 years 11 months,
