Metric,Value,Unit
Installed Capacity,550.00,kWp
Total Energy,"16,724.81",MWh
Capital Investment,"18,611,320.00",THB
Average Savings,"2,686,247.70",THB/Year
O&M Cost,"409,449.04",THB/Year
Average Net Savings,"2,276,798.66",THB/Year
Inverter Replacement,"2,310,000.00",THB
Total 25-Year Savings,"55,428,864.64",THB
ROI,197.82,%
IRR,11.88,%
Payback Period,7 years 5 months,
