Curve_Robinson Lifestyle Ratchaphruek_20240610174304
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
2023-11-03 05:30:00,438.01,438.01,0
2023-11-03 06:00:00,469.563,469.563,0
2023-11-03 06:30:00,513.827,527.186,13.359
2023-11-03 07:00:00,394.619,495.106,100.487
2023-11-03 07:30:00,197.391,447.424,250.033
2023-11-03 08:00:00,226.149,640.492,414.343
2023-11-03 08:30:00,152.737,809.768,657.031
2023-11-03 09:00:00,84.885,961.42,876.535
2023-11-03 09:30:00,180.168,1192.834,1012.666
2023-11-03 10:00:00,141.142,1301.079,1159.937
2023-11-03 10:30:00,451.882,1721.272,1269.39
2023-11-03 11:00:00,2167.255,3461.241,1293.986
2023-11-03 11:30:00,2313.893,3679.308,1365.415
2023-11-03 12:00:00,2062.737,3497.49,1434.753
2023-11-03 12:30:00,2557.368,3909.857,1352.489
2023-11-03 13:00:00,3396.917,4176.119,779.202
2023-11-03 13:30:00,2664.013,3905.35,1241.337
2023-11-03 14:00:00,2457.487,3677.837,1220.35
2023-11-03 14:30:00,3364.548,3930.633,566.085
2023-11-03 15:00:00,3073.948,3855.149,781.201
2023-11-03 15:30:00,3939.61,4021.589,81.979
2023-11-03 16:00:00,3890.288,3955.663,65.375
2023-11-03 16:30:00,3811.56,3857.112,45.552
2023-11-03 17:00:00,3890.903,3995.46,104.557
2023-11-03 17:30:00,4004.791,4051.549,46.758
2023-11-03 18:00:00,4274.907,4275.168,0.261
2023-11-03 18:30:00,4220.11,4220.11,0
2023-11-03 19:00:00,3858.488,3858.488,0
2023-11-03 19:30:00,3884.408,3884.408,0
2023-11-03 20:00:00,3892.965,3892.965,0
2023-11-03 20:30:00,3803.854,3803.854,0
2023-11-03 21:00:00,3727.545,3727.545,0
2023-11-03 21:30:00,3503.728,3503.728,0
2023-11-03 22:00:00,2418.007,2418.007,0
2023-11-03 22:30:00,1493.24,1493.24,0
2023-11-03 23:00:00,1230.943,1230.943,0
2023-11-03 23:30:00,1141.388,1141.388,0
2023-11-04 00:00:00,1311.588,1311.588,0
2023-11-04 00:30:00,1233.156,1233.156,0
2023-11-04 01:00:00,1207.606,1207.606,0
2023-11-04 01:30:00,618.476,618.476,0
2023-11-04 02:00:00,572.887,572.887,0
2023-11-04 02:30:00,568.116,568.116,0
2023-11-04 03:00:00,570.723,570.723,0
2023-11-04 03:30:00,570.996,570.996,0
2023-11-04 04:00:00,444.491,444.491,0
2023-11-04 04:30:00,420.843,420.843,0
2023-11-04 05:00:00,452.772,452.772,0
2023-11-04 05:30:00,429.584,429.584,0
2023-11-04 06:00:00,421.646,421.646,0
2023-11-04 06:30:00,417.39,439.086,21.696
2023-11-04 07:00:00,345.567,430.049,84.482
2023-11-04 07:30:00,232.808,473.099,240.291
2023-11-04 08:00:00,175.149,611.413,436.264
2023-11-04 08:30:00,141.407,765.714,624.307
2023-11-04 09:00:00,86.58,857.363,770.783
2023-11-04 09:30:00,936.919,1891.814,954.895
2023-11-04 10:00:00,2529.955,3546.081,1016.126
2023-11-04 10:30:00,2291.28,3566.222,1274.942
2023-11-04 11:00:00,2631.577,3578.736,947.159
2023-11-04 11:30:00,3545.857,3885.851,339.994
2023-11-04 12:00:00,3795.852,4148.802,352.95
2023-11-04 12:30:00,4170.08,4368.693,198.613
2023-11-04 13:00:00,4028.52,4308.817,280.297
2023-11-04 13:30:00,4187.273,4312.119,124.846
2023-11-04 14:00:00,3755.972,4088.442,332.47
2023-11-04 14:30:00,3811.012,4116.984,305.972
2023-11-04 15:00:00,3630.13,4026.046,395.916
2023-11-04 15:30:00,3644.759,3983.753,338.994
2023-11-04 16:00:00,3710.881,4029.615,318.734
2023-11-04 16:30:00,3886.365,4085.236,198.871
2023-11-04 17:00:00,4178.89,4296.151,117.261
2023-11-04 17:30:00,4078.793,4114.719,35.926
2023-11-04 18:00:00,2740.214,2740.214,0
2023-11-04 18:30:00,3696.054,3696.054,0
2023-11-04 19:00:00,3759.766,3759.766,0
2023-11-04 19:30:00,3783.149,3783.149,0
2023-11-04 20:00:00,3691.245,3691.245,0
2023-11-04 20:30:00,3662.139,3662.139,0
2023-11-04 21:00:00,3585.705,3585.705,0
2023-11-04 21:30:00,3440.492,3440.492,0
2023-11-04 22:00:00,2448.614,2448.614,0
2023-11-04 22:30:00,1322.047,1322.047,0
2023-11-04 23:00:00,1211.438,1211.438,0
2023-11-04 23:30:00,1138.096,1138.096,0
2023-11-05 00:00:00,1180.776,1180.776,0
2023-11-05 00:30:00,1173.945,1173.945,0
2023-11-05 01:00:00,1118.787,1118.787,0
2023-11-05 01:30:00,552.148,552.148,0
2023-11-05 02:00:00,504.69,504.69,0
2023-11-05 02:30:00,525.832,525.832,0
2023-11-05 03:00:00,507.016,507.016,0
2023-11-05 03:30:00,496.281,496.281,0
2023-11-05 04:00:00,455.97,455.97,0
2023-11-05 04:30:00,442.538,442.538,0
2023-11-05 05:00:00,452.418,452.418,0
2023-11-05 05:30:00,464.234,464.234,0
2023-11-05 06:00:00,481.278,481.278,0
2023-11-05 06:30:00,468.649,494.016,25.367
2023-11-05 07:00:00,402.129,499.867,97.738
2023-11-05 07:30:00,370.319,513.631,143.312
2023-11-05 08:00:00,203.236,649.279,446.043
2023-11-05 08:30:00,141.097,791.645,650.548
2023-11-05 09:00:00,132.744,934.91,802.166
2023-11-05 09:30:00,1481.4,2049.644,568.244
2023-11-05 10:00:00,2183.34,3307.307,1123.967
2023-11-05 10:30:00,2232.822,3492.638,1259.816
2023-11-05 11:00:00,2221.373,3530.858,1309.485
2023-11-05 11:30:00,2248.435,3585.294,1336.859
2023-11-05 12:00:00,3303.722,3740.127,436.405
2023-11-05 12:30:00,2457.115,3874.824,1417.709
2023-11-05 13:00:00,2554.439,3924.594,1370.155
2023-11-05 13:30:00,3021.919,4092.685,1070.766
2023-11-05 14:00:00,4011.031,4293.564,282.533
