Curve_Robinson Lifestyle Ratchaphruek_20240610174105,,,,
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW),
1/4/2023 0:00,664.814,664.814,0,664.814
1/4/2023 0:30,650.298,650.298,0,650.298
1/4/2023 1:00,608.436,608.436,0,608.436
1/4/2023 1:30,584.183,584.183,0,584.183
1/4/2023 2:00,558.88,558.88,0,558.88
1/4/2023 2:30,554.337,554.337,0,554.337
1/4/2023 3:00,558.289,558.289,0,558.289
1/4/2023 3:30,555.996,555.996,0,555.996
1/4/2023 4:00,476.054,476.054,0,476.054
1/4/2023 4:30,431.828,431.828,0,431.828
1/4/2023 5:00,452.359,452.359,0,452.359
1/4/2023 5:30,440.521,440.521,0,440.521
1/4/2023 6:00,432.918,432.918,0,432.918
1/4/2023 6:30,436.001,452.895,16.894,436.001
1/4/2023 7:00,376.011,463.708,87.697,376.011
1/4/2023 7:30,197.639,424.936,227.297,197.639
1/4/2023 8:00,128.843,545.103,416.26,128.843
1/4/2023 8:30,15.185,626.082,610.897,15.185
1/4/2023 9:00,-29.655,775.298,804.953,-29.655
1/4/2023 9:30,-70.142,911.855,981.997,-70.142
1/4/2023 10:00,-193.945,921.604,1115.549,-193.945
1/4/2023 10:30,1037.462,2264.364,1226.902,1037.462
1/4/2023 11:00,1783.729,3094.396,1310.667,1783.729
1/4/2023 11:30,1969.677,3355.625,1385.948,1969.677
1/4/2023 12:00,1813.066,3231.894,1418.828,1813.066
1/4/2023 12:30,1831.854,3273.636,1441.782,1831.854
1/4/2023 13:00,1922.261,3317.016,1394.755,1922.261
1/4/2023 13:30,1982.828,3353.572,1370.744,1982.828
1/4/2023 14:00,1913.545,3205.771,1292.226,1913.545
1/4/2023 14:30,2054.559,3211.546,1156.987,2054.559
1/4/2023 15:00,2192.038,3204.157,1012.119,2192.038
1/4/2023 15:30,2375.906,3265.827,889.921,2375.906
1/4/2023 16:00,2562.595,3318.868,756.273,2562.595
1/4/2023 16:30,2809.501,3369.9,560.399,2809.501
1/4/2023 17:00,3035.168,3383.915,348.747,3035.168
1/4/2023 17:30,3359.057,3535.833,176.776,3359.057
1/4/2023 18:00,3715.125,3771.975,56.85,3715.125
1/4/2023 18:30,3714.106,3718.724,4.618,3714.106
1/4/2023 19:00,3915.511,3915.511,0,3915.511
1/4/2023 19:30,3876.547,3876.547,0,3876.547
1/4/2023 20:00,3784.933,3784.933,0,3784.933
1/4/2023 20:30,3730.228,3730.228,0,3730.228
1/4/2023 21:00,3585.832,3585.832,0,3585.832
1/4/2023 21:30,2747.764,2747.764,0,2747.764
1/4/2023 22:00,2543.915,2543.915,0,2543.915
1/4/2023 22:30,1508.406,1508.406,0,1508.406
