Curve_Robinson Lifestyle Ratchaphruek_20240610174415,,,,
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW),
1/9/2023 0:00,855.849,855.849,0,855.849
1/9/2023 0:30,565.644,565.644,0,565.644
1/9/2023 1:00,556.377,556.377,0,556.377
1/9/2023 1:30,562.418,562.418,0,562.418
1/9/2023 2:00,524.138,524.138,0,524.138
1/9/2023 2:30,517.354,517.354,0,517.354
1/9/2023 3:00,517.972,517.972,0,517.972
1/9/2023 3:30,501.434,501.434,0,501.434
1/9/2023 4:00,431.389,431.389,0,431.389
1/9/2023 4:30,456.404,456.404,0,456.404
1/9/2023 5:00,466.935,466.935,0,466.935
1/9/2023 5:30,364.691,364.691,0,364.691
1/9/2023 6:00,368.202,368.202,0,368.202
1/9/2023 6:30,275.207,329.374,54.167,275.207
1/9/2023 7:00,230.521,363.364,132.843,230.521
1/9/2023 7:30,69.428,343.671,274.243,69.428
1/9/2023 8:00,265.253,533.261,268.008,265.253
1/9/2023 8:30,-239.744,626.352,866.096,-239.744
1/9/2023 9:00,-466.66,756.807,1223.467,-466.66
1/9/2023 9:30,-657.786,859.809,1517.595,-657.786
1/9/2023 10:00,-530.981,1027.516,1558.497,-530.981
1/9/2023 10:30,541.862,1211.73,669.868,541.862
1/9/2023 11:00,1801.034,3039.129,1238.095,1801.034
1/9/2023 11:30,1645.111,3075.284,1430.173,1645.111
1/9/2023 12:00,1683.127,3044.319,1361.192,1683.127
1/9/2023 12:30,1721.014,3436.026,1715.012,1721.014
1/9/2023 13:00,1561.036,3315.926,1754.89,1561.036
1/9/2023 13:30,2754.459,3212.509,458.05,2754.459
1/9/2023 14:00,1473.887,3068.201,1594.314,1473.887
1/9/2023 14:30,1730.256,3113.67,1383.414,1730.256
1/9/2023 15:00,1744.093,3046.627,1302.534,1744.093
1/9/2023 15:30,1929.253,3142.896,1213.643,1929.253
1/9/2023 16:00,2515.949,3174,658.051,2515.949
1/9/2023 16:30,2740.585,3177.65,437.065,2740.585
1/9/2023 17:00,2513.854,3118.237,604.383,2513.854
1/9/2023 17:30,2998.159,3151.549,153.39,2998.159
1/9/2023 18:00,3095.264,3147.386,52.122,3095.264
1/9/2023 18:30,3247.5,3255.291,7.791,3247.5
1/9/2023 19:00,3224.531,3224.531,0,3224.531
1/9/2023 19:30,2991.664,2991.664,0,2991.664
1/9/2023 20:00,2981.21,2981.21,0,2981.21
1/9/2023 20:30,2938.972,2938.972,0,2938.972
1/9/2023 21:00,2837.535,2837.535,0,2837.535
1/9/2023 21:30,2611.237,2611.237,0,2611.237
1/9/2023 22:00,1792.126,1792.126,0,1792.126
1/9/2023 22:30,1151.811,1151.811,0,1151.811
1/9/2023 23:00,957.186,957.186,0,957.186
1/9/2023 23:30,852.391,852.391,0,852.391
2/9/2023 0:00,853.387,853.387,0,853.387
2/9/2023 0:30,808.419,808.419,0,808.419
2/9/2023 1:00,555.384,555.384,0,555.384
2/9/2023 1:30,410.034,410.034,0,410.034
2/9/2023 2:00,367.561,367.561,0,367.561
2/9/2023 2:30,371.72,371.72,0,371.72
2/9/2023 3:00,361.893,361.893,0,361.893
2/9/2023 3:30,365.609,365.609,0,365.609
2/9/2023 4:00,343.822,343.822,0,343.822
2/9/2023 4:30,328.231,328.231,0,328.231
2/9/2023 5:00,351.838,351.838,0,351.838
2/9/2023 5:30,338.601,338.601,0,338.601
2/9/2023 6:00,293.325,293.325,0,293.325
2/9/2023 6:30,256.689,302.048,45.359,256.689
2/9/2023 7:00,207.254,340.981,133.727,207.254
2/9/2023 7:30,157.466,381.086,223.62,157.466
2/9/2023 8:00,-37.398,538.283,575.681,-37.398
2/9/2023 8:30,-229.018,658.435,887.453,-229.018
2/9/2023 9:00,378.723,841.299,462.576,378.723
2/9/2023 9:30,248.848,1057.263,808.415,248.848
2/9/2023 10:00,1827.975,2886.183,1058.208,1827.975
2/9/2023 10:30,1746.745,2991.056,1244.311,1746.745
2/9/2023 11:00,1513.445,3047.354,1533.909,1513.445
2/9/2023 11:30,2226.837,3019.636,792.799,2226.837
2/9/2023 12:00,1469.337,3175.427,1706.09,1469.337
2/9/2023 12:30,2493.397,3408.973,915.576,2493.397
2/9/2023 13:00,1609.966,3368.391,1758.425,1609.966
2/9/2023 13:30,2666.208,3431.442,765.234,2666.208
2/9/2023 14:00,1799.742,3281.44,1481.698,1799.742
2/9/2023 14:30,1745.26,3385.705,1640.445,1745.26
2/9/2023 15:00,2753.316,3273.372,520.056,2753.316
2/9/2023 15:30,2883.548,3300.175,416.627,2883.548
2/9/2023 16:00,2902.341,3292.369,390.028,2902.341
2/9/2023 16:30,2965.328,3312.302,346.974,2965.328
2/9/2023 17:00,2899.971,3268.492,368.521,2899.971
2/9/2023 17:30,3029.837,3254.925,225.088,3029.837
2/9/2023 18:00,3166.992,3253.154,86.162,3166.992
2/9/2023 18:30,3282.418,3291.893,9.475,3282.418
2/9/2023 19:00,3281.119,3281.119,0,3281.119
2/9/2023 19:30,2876.222,2876.222,0,2876.222
2/9/2023 20:00,3052.956,3052.956,0,3052.956
2/9/2023 20:30,2937.506,2937.506,0,2937.506
2/9/2023 21:00,2816.558,2816.558,0,2816.558
2/9/2023 21:30,2646.985,2646.985,0,2646.985
2/9/2023 22:00,1814.261,1814.261,0,1814.261
2/9/2023 22:30,1098.034,1098.034,0,1098.034
2/9/2023 23:00,873.709,873.709,0,873.709
2/9/2023 23:30,767.402,767.402,0,767.402
3/9/2023 0:00,812.114,812.114,0,812.114
3/9/2023 0:30,813.899,813.899,0,813.899
3/9/2023 1:00,542.94,542.94,0,542.94
3/9/2023 1:30,406.785,406.785,0,406.785
3/9/2023 2:00,358.227,358.227,0,358.227
3/9/2023 2:30,364.433,364.433,0,364.433
3/9/2023 3:00,361.846,361.846,0,361.846
3/9/2023 3:30,347.296,347.296,0,347.296
3/9/2023 4:00,372.523,372.523,0,372.523
3/9/2023 4:30,361.28,361.28,0,361.28
3/9/2023 5:00,349.814,349.814,0,349.814
3/9/2023 5:30,374.001,374.001,0,374.001
3/9/2023 6:00,344.611,344.611,0,344.611
3/9/2023 6:30,263.039,291.89,28.851,263.039
3/9/2023 7:00,177.203,328.755,151.552,177.203
3/9/2023 7:30,43.713,379.673,335.96,43.713
3/9/2023 8:00,-96.025,487.024,583.049,-96.025
3/9/2023 8:30,-82.489,668.189,750.678,-82.489
3/9/2023 9:00,-95.508,881.97,977.478,-95.508
3/9/2023 9:30,1018.959,2200.191,1181.232,1018.959
3/9/2023 10:00,1619.782,2929.844,1310.062,1619.782
3/9/2023 10:30,1524.313,2961.174,1436.861,1524.313
3/9/2023 11:00,1422.942,3026.28,1603.338,1422.942
3/9/2023 11:30,1467.3,3040.82,1573.52,1467.3
3/9/2023 12:00,1432.341,3054.426,1622.085,1432.341
3/9/2023 12:30,2888.307,3384.725,496.418,2888.307
3/9/2023 13:00,1628.363,3261.841,1633.478,1628.363
3/9/2023 13:30,2735.449,3245.421,509.972,2735.449
3/9/2023 14:00,2157.039,3238.204,1081.165,2157.039
3/9/2023 14:30,1843.299,3245.897,1402.598,1843.299
3/9/2023 15:00,2748.022,3365.938,617.916,2748.022
3/9/2023 15:30,2375.288,3295.205,919.917,2375.288
3/9/2023 16:00,3036.015,3359.958,323.943,3036.015
3/9/2023 16:30,2714.924,3323.581,608.657,2714.924
3/9/2023 17:00,2920.112,3318.326,398.214,2920.112
3/9/2023 17:30,3102.974,3345.168,242.194,3102.974
3/9/2023 18:00,3355.416,3400.912,45.496,3355.416
3/9/2023 18:30,3339.984,3341.471,1.487,3339.984
3/9/2023 19:00,3282.087,3282.087,0,3282.087
3/9/2023 19:30,2989.384,2989.384,0,2989.384
3/9/2023 20:00,3019.636,3019.636,0,3019.636
3/9/2023 20:30,2936.891,2936.891,0,2936.891
3/9/2023 21:00,2872.75,2872.75,0,2872.75
3/9/2023 21:30,2149.121,2149.121,0,2149.121
3/9/2023 22:00,1735.004,1735.004,0,1735.004
3/9/2023 22:30,1121.899,1121.899,0,1121.899
3/9/2023 23:00,883.025,883.025,0,883.025
3/9/2023 23:30,793.06,793.06,0,793.06
4/9/2023 0:00,630.839,630.839,0,630.839
4/9/2023 0:30,498.014,498.014,0,498.014
4/9/2023 1:00,485.208,485.208,0,485.208
4/9/2023 1:30,477.007,477.007,0,477.007
4/9/2023 2:00,436.477,436.477,0,436.477
4/9/2023 2:30,432.995,432.995,0,432.995
4/9/2023 3:00,430.663,430.663,0,430.663
4/9/2023 3:30,427.129,427.129,0,427.129
4/9/2023 4:00,367.55,367.55,0,367.55
4/9/2023 4:30,387.732,387.732,0,387.732
4/9/2023 5:00,340.361,340.361,0,340.361
4/9/2023 5:30,330.469,330.469,0,330.469
4/9/2023 6:00,349.355,349.355,0,349.355
4/9/2023 6:30,278.158,346.662,68.504,278.158
4/9/2023 7:00,198.258,361.694,163.436,198.258
4/9/2023 7:30,106.404,362.357,255.953,106.404
4/9/2023 8:00,146.149,549.236,403.087,146.149
4/9/2023 8:30,294.362,671.494,377.132,294.362
4/9/2023 9:00,26.331,824.182,797.851,26.331
4/9/2023 9:30,147.427,956.014,808.587,147.427
4/9/2023 10:00,-460.224,1083.762,1543.986,-460.224
4/9/2023 10:30,605.675,1913.978,1308.303,605.675
4/9/2023 11:00,1601.429,3126.492,1525.063,1601.429
4/9/2023 11:30,2555.03,3076.144,521.114,2555.03
4/9/2023 12:00,2462.699,3082.059,619.36,2462.699
4/9/2023 12:30,2350.491,3027.128,676.637,2350.491
4/9/2023 13:00,2026.442,3067.325,1040.883,2026.442
4/9/2023 13:30,1717.488,3475.616,1758.128,1717.488
4/9/2023 14:00,2454.899,3178.086,723.187,2454.899
4/9/2023 14:30,1544.225,3089.58,1545.355,1544.225
4/9/2023 15:00,2439.686,3170.041,730.355,2439.686
4/9/2023 15:30,1974.882,3165.497,1190.615,1974.882
4/9/2023 16:00,2657.003,3255.394,598.391,2657.003
4/9/2023 16:30,2846.437,3171.896,325.459,2846.437
4/9/2023 17:00,3076.077,3202.681,126.604,3076.077
4/9/2023 17:30,2997.596,3196.426,198.83,2997.596
4/9/2023 18:00,3177.366,3230.131,52.765,3177.366
4/9/2023 18:30,2806.055,2806.24,0.185,2806.055
4/9/2023 19:00,3048.351,3048.351,0,3048.351
4/9/2023 19:30,3044.201,3044.201,0,3044.201
4/9/2023 20:00,2937.992,2937.992,0,2937.992
4/9/2023 20:30,2908.043,2908.043,0,2908.043
4/9/2023 21:00,2879.674,2879.674,0,2879.674
4/9/2023 21:30,2025.713,2025.713,0,2025.713
4/9/2023 22:00,1759.127,1759.127,0,1759.127
4/9/2023 22:30,1030.653,1030.653,0,1030.653
4/9/2023 23:00,807.029,807.029,0,807.029
4/9/2023 23:30,737.759,737.759,0,737.759
5/9/2023 0:00,590.507,590.507,0,590.507
5/9/2023 0:30,474.424,474.424,0,474.424
5/9/2023 1:00,463.06,463.06,0,463.06
5/9/2023 1:30,438.163,438.163,0,438.163
5/9/2023 2:00,387.655,387.655,0,387.655
5/9/2023 2:30,396.181,396.181,0,396.181
5/9/2023 3:00,395.357,395.357,0,395.357
5/9/2023 3:30,409.705,409.705,0,409.705
5/9/2023 4:00,341.726,341.726,0,341.726
5/9/2023 4:30,333.441,333.441,0,333.441
5/9/2023 5:00,340.046,340.046,0,340.046
5/9/2023 5:30,320.933,320.933,0,320.933
5/9/2023 6:00,340.465,340.465,0,340.465
5/9/2023 6:30,346.723,372.201,25.478,346.723
5/9/2023 7:00,238.949,351.368,112.419,238.949
5/9/2023 7:30,124.981,349.524,224.543,124.981
5/9/2023 8:00,111.587,510.284,398.697,111.587
5/9/2023 8:30,122.443,726.651,604.208,122.443
5/9/2023 9:00,124.491,892.07,767.579,124.491
5/9/2023 9:30,299.06,1043.967,744.907,299.06
5/9/2023 10:00,-137.987,1301.407,1439.394,-137.987
5/9/2023 10:30,1510.125,2092.763,582.638,1510.125
5/9/2023 11:00,2205.917,3014.465,808.548,2205.917
5/9/2023 11:30,1912.273,3018.822,1106.549,1912.273
5/9/2023 12:00,1306.2,3029.98,1723.78,1306.2
5/9/2023 12:30,2136.175,3257.878,1121.703,2136.175
5/9/2023 13:00,2453.494,3222.403,768.909,2453.494
5/9/2023 13:30,1474.618,3149.463,1674.845,1474.618
