Curve_Robinson Lifestyle Ratchaphruek_20240610174044,,,
Time,Meter2(52757)/Meter Active Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Load Power(kW),Robinson Lifestyle Ratchaphruek(00027)/Plant Power(kW)
3/5/2023 9:30,-73.601,942.339,1015.94
3/5/2023 10:00,837.646,1339.658,502.012
3/5/2023 10:30,1224.865,2527.107,1302.242
3/5/2023 11:00,2855.913,4232.579,1376.666
3/5/2023 11:30,2815.991,4226.503,1410.512
3/5/2023 12:00,2558.998,3974.019,1415.021
3/5/2023 12:30,2692.337,4050.529,1358.192
3/5/2023 13:00,2557.571,3909.548,1351.977
3/5/2023 13:30,2857.533,3984.22,1126.687
3/5/2023 14:00,2723.478,3946.595,1223.117
3/5/2023 14:30,2774.382,3897.555,1123.173
3/5/2023 15:00,2844.07,3845.855,1001.785
3/5/2023 15:30,2907.801,3773.915,866.114
3/5/2023 16:00,3200.308,3903.871,703.563
3/5/2023 16:30,3449.466,3954.113,504.647
3/5/2023 17:00,3634.121,3976.773,342.652
3/5/2023 17:30,3907.308,4088.137,180.829
3/5/2023 18:00,3918.493,3993.167,74.674
3/5/2023 18:30,3527.584,3532.095,4.511
3/5/2023 19:00,3884.031,3884.031,0
3/5/2023 19:30,4001.296,4001.296,0
3/5/2023 20:00,4010.895,4010.895,0
3/5/2023 20:30,3927.981,3927.981,0
3/5/2023 21:00,3792.929,3792.929,0
3/5/2023 21:30,3032.763,3032.763,0
3/5/2023 22:00,2666.746,2666.746,0
3/5/2023 22:30,1613.542,1613.542,0
3/5/2023 23:00,796.486,796.486,0
3/5/2023 23:30,770.467,770.467,0
4/5/2023 0:00,854.182,854.182,0
4/5/2023 0:30,832.891,832.891,0
4/5/2023 1:00,813.625,813.625,0
4/5/2023 1:30,662.598,662.598,0
4/5/2023 2:00,588.161,588.161,0
4/5/2023 2:30,617.432,617.432,0
4/5/2023 3:00,574.447,574.447,0
4/5/2023 3:30,541.1,541.1,0
4/5/2023 4:00,468.932,468.932,0
4/5/2023 4:30,470.255,470.255,0
4/5/2023 5:00,467.186,467.186,0
4/5/2023 5:30,448.542,448.542,0
4/5/2023 6:00,428.475,429.284,0.809
